;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
1;29.08910984;28.39229965;27.85302983;27.7777664;25.53189433;29.4176614;28.02917241;30.03336405;29.64822048;28.56356728;28.3515514;29.72005213;28.01595729;28.38585215;29.71246086;26.63672291;28.01677008;27.3569551;27.06611971;26.81767323;26.15576876;26.91314321;28.37255483;28.65876007;28.89167779
2;27.73804187;28.18704077;25.19662295;26.98344526;25.44440298;28.02088929;28.91926426;27.83145167;27.91828422;27.38408335;27.11991881;27.28799881;28.12219147;27.05946438;27.09254873;26.57956085;27.3820844;25.71020575;26.76483133;26.29980531;26.78275536;26.30768802;27.16327585;26.05912451;26.33876512
3;29.34779341;29.76201696;29.46261844;29.53414401;29.0973755;30.27448574;29.05794088;31.0465356;29.63531196;29.35098013;29.14009824;29.70791193;29.08178307;29.68807874;29.92624779;29.6037365;30.65421401;30.5520086;30.45351851;29.76743252;29.60157022;30.98348808;29.7360011;28.89745996;30.35307126
4;29.13739885;29.09026419;29.44662364;29.64485622;29.1125744;29.51578586;29.26710716;30.5275172;30.17689462;28.81429372;30.42194582;29.41458195;30.04771268;30.18637214;29.58414676;30.24983297;29.80635526;29.52083927;29.65510939;29.85887441;29.89937935;29.80439129;30.65516787;29.40920414;29.33795989
5;26.99980904;27.29103826;28.58334171;27.81095832;27.81650174;29.12084067;29.75802709;30.03842343;29.25627625;29.83040936;26.91586805;27.13354752;28.90077092;29.6769271;30.30866646;29.2473926;29.28147764;29.64415973;28.56870873;28.45170777;28.62014998;29.85346734;29.32098959;29.07175184;29.05531242
6;29.22056107;29.72850339;29.51070226;30.26125608;29.04459285;29.43857191;29.36313351;30.28167614;29.43524689;28.96118226;29.26746443;29.61444097;29.78173771;29.19264225;29.15575098;29.29774404;29.99490309;28.96427261;29.83044819;29.27069705;29.78069868;30.10098112;29.50524802;30.01328971;30.08170338
7;28.77993869;28.71648751;28.38652655;27.87732969;30.59510033;28.91945581;29.83087789;29.43218077;28.3026405;30.24444954;28.14556173;28.68287012;30.27211423;27.44569853;26.78841043;29.24977634;28.00908862;28.94265022;28.98013792;27.92713748;29.35982594;29.1816322;28.88218819;28.77313714;28.43127133
8;26.22001785;26.13035409;26.63302226;27.4952413;26.35223469;27.30569043;26.12664657;25.14517629;25.66439131;26.14480993;26.23313314;26.01767899;27.83082196;26.61637992;27.08380207;24.97528995;26.8088116;26.98558314;27.14772874;27.5529422;25.05898739;27.25828195;26.18611771;26.29860091;26.05309968
9;28.53951396;27.94125966;27.97958056;28.60954364;28.32879852;28.17326412;28.49784793;28.44154399;28.29698843;28.11444607;28.65192376;28.36008377;28.11223508;27.80429782;28.65105846;28.13078699;28.46261946;28.91755382;27.36083678;29.30580785;27.65700941;29.07028601;28.42176297;27.4761208;28.09263561
10;29.06263477;27.95355715;29.0304644;30.04018489;29.33845345;28.24335073;28.55032929;28.68037455;28.27988849;28.98247398;27.78675809;27.98795812;27.68058947;26.84855904;28.38931465;27.19249833;28.82870203;28.4551393;28.28246786;27.83151298;28.63055921;28.77821001;29.15766972;29.20056249;29.8608418
